name,phone,money,rating,reviewCount,detail_url,business_website,popular_dishes,address,claimed,type,business_highlights,business_owner,about_business
Savor,(415) 702-6048,$$,4.7,164,https://www.yelp.com/biz/savor-san-francisco-7?osq=Restaurants,savor.menu,"Wild Mushroom Knaffe, Portobello Mushroom Shawarma Sandwich, Vegan Stuffed Baby Beets Salad, Green Spanish Melt Sandwich, Pulled King Trumpet Burger, Artichoke Shawarma Sandwich, Fattoush Salad","401 Irving St San Francisco, CA 94122",Claimed,"Mediterranean, Vegetarian, Vegan","Takes Reservations,Offers Delivery,Offers Takeout",,"speciality:


historyText:


businessOwnerBio:
"
Beit Rima,(415) 566-1274,$$,4.3,286,https://www.yelp.com/biz/beit-rima-san-francisco-4?osq=Restaurants,beitrimasf.com,"Chicken Shish Tawook Plate, Beef Kabob Plate, Mezze Platter Fish, Baked Halloumi, Baba Ganoush, Muhammara, Batata Harra, Shakshuka, Chicken Kebabs, Chicken Skewer, Whole Fried Fish, Grilled Chicken Kabobs, Branzino, Roasted Red Pepper Hummus, Grilled Hanger Steak, Lebna, Kebab Plate, Hummus Ma Lehma, Fava, Fattoush","86 Carl St San Francisco, CA 94117",Claimed,"Arabic, Mediterranean, Lebanese","Offers Delivery,Offers Takeout",,"speciality:
None

historyText:
Since opening in 2019, Beit Rima has been voted Best New Restaurant by San Franciscans’ via SF Weekly and Top 100 Restaurant from the SF Chronicle along with rave reviews from food critics. In 2020, Beit Rima was recognized on a national level when we were listed as a semi finalist for Best New Restaurant via the prestigious James Beard Awards. Follow us on Instagram @beitrima to stay updated on seasonal specials! We look forward to having you!

businessOwnerBio:
None"
Fermentation Lab,(415) 658-7177,,4.9,7,https://www.yelp.com/biz/fermentation-lab-san-francisco-3?osq=Restaurants,fermlabsf.com,,"1700A Post St San Francisco, CA 94115",Claimed,"Bars, Burgers, Seafood","Offers Takeout,Accepts Credit Cards,Offers Catering",,"speciality:


historyText:


businessOwnerBio:
"
Udon Mugizo,(415) 931-3118,$$,4.1,1571,https://www.yelp.com/biz/udon-mugizo-san-francisco-11?osq=Restaurants,Japan Center,"Mentai Cream Sauce Udon, Katsu Curry Udon, Udon Noodles, Uni Udon, Cold Udon, Tonkotsu Udon, Sukiyaki Nabeyaki Udon, Tempura Udon, Kobe Shabu Shabu Udon, Salmon Spinach Cream Udon, Shrimp Tempura, Niku Bukkake Udon, Sea Urchin Udon, Agedashi Tofu, Takoyaki, Rice Bowl, Tempura Zaru Soba, Assorted Tempura, Kitsune Udon, Fish Cake","1581 Webster St Ste 217 San Francisco, CA 94115",Claimed,"Japanese, Noodles","Offers Delivery,Offers Takeout",,"speciality:


historyText:


businessOwnerBio:
"
California Fish Market Restaurant,(415) 757-0918,$$,4.4,609,https://www.yelp.com/biz/california-fish-market-restaurant-san-francisco-3?osq=Restaurants,cafishmarketrestaurant.com,"Oysters, Crudo, Scallops, Crab Chowder, Cioppino, Linguine Granchio, Grilled Calamari, Tiramisu, Lobster Roll, Spaghetti Neri, Branzino, Fish and Chips, Grilled Spanish Octopus, Ravioli Con Aragosta, Grigliata Fish Market, Spaghetti Ai Frutti Di Mare, Frittura Mista, Bucatini Sea Urchin, Housemade Crab Cake, Fish Market Salad","550 Green St San Francisco, CA 94133",Claimed,"Seafood, Fish & Chips, Italian","Takes Reservations,Offers Delivery,Offers Takeout",,"speciality:
Fresh and local seafood restaurant and market with sustainable approach serving in season and local fish water to table.

historyText:
None

businessOwnerBio:
None"
Woodhouse Fish,(415) 437-2722,$$,4.1,2524,https://www.yelp.com/biz/woodhouse-fish-san-francisco-4?osq=Restaurants,woodhousefish.com,"Split-top Maine Lobster Roll, Clam Chowder, Baja-style Fish Tacos, Crab Cakes, Dungeness Crab, Cioppino, Stuffed Artichoke, Cheddar Cheese Crab Melt, Fish & Chips, Bay Shrimp & Avocado Roll, Lobster & Squid Ink Linguini, Fried Ipswich Clam Roll, Raw Oysters, Fried Whole-belly Ipswich Clams, BBQ Oysters, Iceberg Louie Salad","1914 Fillmore St San Francisco, CA 94115",Claimed,"Seafood, American (New)","Offers Delivery,Offers Takeout",,"speciality:


historyText:


businessOwnerBio:
"
Cafe de Casa,(415) 829-7915,$$,4.6,174,https://www.yelp.com/biz/cafe-de-casa-san-francisco-4?osq=Restaurants,cafedecasa.com,"Pao De Queijo, Rissoles, Rosca De Coco, Acai Bowl, Empada De Frango, Dried Beef, Feijoada, Flan, Acai Cup, Torta De Frango","3985 17th St San Francisco, CA 94114",Claimed,"Brazilian, Coffee & Tea","Offers Delivery,Offers Takeout",,"speciality:


historyText:


businessOwnerBio:
"
Sacred Taco,(415) 653-8981,$$,4.3,273,https://www.yelp.com/biz/sacred-taco-san-francisco?osq=Restaurants,sacredtacosf.com,"Chicken Mole Enchilada, Carne Asada Quesadilla, Esquite, Spinach Enchiladas, Flan","1875 Union St San Francisco, CA 94123",Claimed,"Tacos, Cocktail Bars","Takes Reservations,Offers Delivery,Offers Takeout,Accepts Credit Cards",,"speciality:


historyText:


businessOwnerBio:
"
DragonEats,(415) 522-6689,$,4.4,316,https://www.yelp.com/biz/dragoneats-san-francisco-7?osq=Restaurants,dragoneats.com,"Roasted Pork Banh Mi, Teriyaki Tofu, Spring Rolls, Garlic Butter Chicken, Fresh Rolls, Roast Pork Sandwich, Chicken Bowl, Shrimp Rolls, Chicken Breast, Pork Bahn Mi, Green Papaya Salad, Garlic Chicken Banh Mi, Thai Iced Tea Roasted Duck, Spice Chicken Banh Mi, Five Spice Chicken, Pork Meatball Sammie, Dragon, Grilled Pork Banh Mi, Tofu Bowl, House Seasonal Soup","1671 Haight St San Francisco, CA 94117",,Vietnamese,"Offers Delivery,Offers Takeout",,"speciality:


historyText:


businessOwnerBio:
"
Mensho Tokyo SF,(415) 800-8345,$$,4.1,2889,https://www.yelp.com/biz/mensho-tokyo-sf-san-francisco?osq=Restaurants,mensho.tokyo,"Tori Paitan Ramen, Vegan Tantanmen, Spicy Tori Paitan Ramen, Spicy Lamb Ramen, Enoki Mushroom Chips, Organic Shoyu Ramen, Shio Ramen, Matcha Tori Paitan Ramen","672 Geary St San Francisco, CA 94102",Claimed,"Ramen, Noodles",,,"speciality:
The great thing about this is that

historyText:
None

businessOwnerBio:
None"
